timestamp,ethereum-metrics-exporter-1-prysm-geth,ethereum-metrics-exporter-2-prysm-geth,ethereum-metrics-exporter-3-prysm-geth,ethereum-metrics-exporter-4-prysm-geth,ethereum-metrics-exporter-5-prysm-geth
1716637291,0.0,0.0,0.0,0.0,0.0
1716637306,0.0,0.0,0.0,0.0,0.0
1716637321,0.0,0.0,0.0,0.0,0.0
1716637336,0.0,0.0,0.0,0.0,0.0
1716637351,0.0,0.0,0.0,0.0,0.0
1716637366,0.0,0.0,0.0,0.0,0.0
1716637381,0.0,0.0,0.0,0.0,0.0
1716637396,0.0,0.0,0.0,0.0,0.0
1716637411,0.0,0.0,0.0,0.0,0.0
1716637426,0.0,0.0,0.0,0.0,0.0
1716637441,0.0,0.0,0.0,0.0,0.0
1716637456,0.0,0.0,0.0,0.0,0.0
1716637471,0.0,0.0,0.0,0.0,0.0
1716637486,0.0,0.0,0.0,0.0,0.0
1716637501,0.0,0.0,0.0,0.0,0.0
1716637516,0.0,0.0,0.0,0.0,0.0
1716637531,0.0,0.0,0.0,0.0,0.0
1716637546,0.0,0.0,0.0,0.0,0.0
1716637561,0.0,0.0,0.0,0.0,0.0
1716637576,0.0,0.0,0.0,0.0,0.0
1716637591,0.0,0.0,0.0,0.0,0.0
1716637606,0.0,0.0,0.0,0.0,0.0
1716637621,0.0,0.0,0.0,0.0,0.0
1716637636,0.0,0.0,0.0,0.0,0.0
1716637651,308391.0,308391.0,308391.0,308391.0,43609.0
1716637666,0.0,43609.0,43609.0,43609.0,0.0
1716637681,0.0,0.0,0.0,0.0,0.0
1716637696,0.0,0.0,0.0,0.0,0.0
1716637711,0.0,0.0,0.0,0.0,0.0
1716637726,0.0,0.0,0.0,0.0,0.0
1716637741,0.0,0.0,0.0,0.0,0.0
1716637756,0.0,0.0,0.0,0.0,0.0
1716637771,0.0,0.0,0.0,0.0,0.0
1716637786,0.0,0.0,0.0,0.0,0.0
1716637801,0.0,0.0,0.0,0.0,0.0
1716637816,0.0,0.0,0.0,0.0,0.0
1716637831,0.0,0.0,0.0,0.0,0.0
1716637846,0.0,0.0,0.0,0.0,0.0
1716637861,0.0,0.0,0.0,0.0,0.0
